Definition1,Definition2,Definition3,Definition4,Clustal PI 
0.5313666782850603,0.7771767341509808,6.266562209011316,0.6236080178173724,34.02
0.4689312227102871,0.7370876472912915,6.184015021592968,0.5211581291759462,33.10
0.3687085055610666,0.636864930142071,5.955300684332015,0.16481069042316232,34.25
0.4237085824613853,0.7362085824613853,6.076610368175671,0.36444444444444457,32.87
0.4706728681756722,0.7162085824613857,6.124690725318529,0.413333333333334,33.10
0.3422198938016443,0.3204334014269161,5.9969039896622105,-0.14750542299349245,15.83
0.5488499546642629,0.6152951373885145,6.422604107488183,0.3094170403587446,35.03
1.6652078774617074,3.855579868708972,7.547045951859957,1.6236323851203505,100.00
0.5689277899343548,0.4595185995623634,6.351203501094092,0.2844638949671774,40.87
0.6210121234241264,0.6645376946972483,6.464320066840884,0.5194805194805197,39.91
0.5735094834291115,0.5956824324313281,6.36619241025838,0.17977528089887684,41.24
0.7282769637916786,0.6842241003555554,6.461757140003132,0.29268292682926855,39.09
0.5473390123815154,0.767361014581736,6.437328011281406,0.41592920353982343,39.59
0.7303477414077459,0.6202155828174369,6.564048181936379,0.4966740576496669,40.36
0.7920104486995179,0.6595601175736903,6.591127446492012,0.4632516703786189,39.41
0.7531477331000129,0.5767419999136845,6.549178604103321,0.431111111111111,40.00
0.7702590496117363,0.5720211641491808,6.55770398353244,0.4434589800443458,39.91
0.8321967895337874,0.6559853357892944,6.639465512000748,0.545454545454545,40.59
0.7940409604573127,0.5953654637685712,6.627374293790646,0.5345211581291762,40.55
0.7098017632223463,0.555276376908882,6.545342602074444,0.4543429844097995,40.09
0.543353880510212,0.6095790460731259,6.3733759555654,0.2538975501113585,40.77
0.6208434332102666,0.5767419999136845,6.4830264541584475,0.431111111111111,40.45
0.6449448665068491,0.5126405666171028,6.486179706639153,0.413333333333334,40.00
0.33926894439683863,0.4264149138957496,5.851251515202939,-0.08242950108459812,17.44
0.3937554605030531,0.3273102777788015,6.144586025287107,0.2645739910313907,34.63
0.4814004376367613,0.6126914660831524,6.351203501094092,0.7483588621444204,40.87
1.3763676148796513,3.5995623632385128,7.080962800875274,1.3347921225382935,100.00
0.7702110195699223,0.46553202065806154,6.5144982883403255,0.8225108225108224,58.63
0.7510337790619612,0.440612493030919,6.4428297879311405,0.5168539325842696,62.02
0.7272455291335458,0.5069812119529296,6.525703678913282,0.7804878048780486,59.47
0.6561247268391757,0.5461137257390671,6.501009215288021,0.8141592920353986,59.82
0.7513427384676721,0.44297269441480935,6.572928641551373,0.8514412416851433,64.96
0.8575931673609087,0.5926925051092518,6.666643939987839,0.908685968819599,64.13
0.8846148777734619,0.46565126145593183,6.635441779647773,0.8311111111111114,65.10
0.9013862052619732,0.460857570900739,6.654690170019682,0.8647450110864741,66.07
0.9412975134659654,0.5007688791047311,6.71442526676993,0.9445676274944566,66.29
0.9037737894939788,0.48434774092885746,6.669778204505016,0.8685968819599106,66.37
0.8857597578219281,0.44425865406917,6.631896623164092,0.8106904231625833,66.14
0.697236819922157,0.4764862680457771,6.482005031842686,0.6993318485523385,68.30
0.906665594421753,0.531803411400805,6.613391062999482,0.764444444444444,69.87
0.9087163110700445,0.5338541280490965,6.594493598831897,0.7244444444444449,69.64
0.2379226030962922,0.3245964925870837,5.887976774277224,-0.03904555314533553,17.30
0.40176022459067084,0.5559452466171031,6.192509123269085,0.21973094170403584,31.72
0.5992493377875654,0.6427749090606873,6.464320066840884,0.7045951859956237,39.91
0.7266854482968004,0.596108734477431,6.5144982883403255,0.6783369803063461,58.63
1.4480519480519476,3.7359307359307365,7.231601731601732,1.45021645021645,100.00
0.8452010464088815,0.6246938799259709,6.621386272428728,0.6292134831460681,64.94
0.690289189701474,0.5807601645097975,6.561044939975296,0.7361419068736144,63.86
0.794838738909343,0.5322566820165626,6.591337644817439,0.7035398230088497,60.31
0.8893915859828301,0.5169929003311324,6.684572308874396,0.7849223946784916,68.51
